idPartido,Equipo1,Cantidad goles1,Equipo2,Cantidad goles2
1,Qatar,0,Ecuador,2
2,England,6,Iran,2
3,Senegal,0,Netherlands,2
4,USA,1,Wales,1
5,Argentina,1,Saudi Arabia,2
6,Denmark,0,Tunisia,0
7,Mexico,0,Poland,0
8,France,4,Australia,1
9,Morocco,0,Croatia,0
10,Germany,1,Japan,2
11,Spain,7,Costa Rica,0
12,Belgium,1,Canada,0
13,Switzerland,1,Cameroon,0
14,Uruguay,0,Korea Republic,0
15,Portugal,3,Ghana,2
16,Brazil,2,Serbia,0
17,Wales,0,Iran,2
18,Qatar,1,Senegal,3
19,Netherlands,1,Ecuador,1
20,England,0,USA,0
21,Tunisia,0,Australia,1
22,Poland,2,Saudi Arabia,0
23,France,2,Denmark,1
24,Argentina,2,Mexico,0
25,Japan,0,Costa Rica,1
26,Belgium,0,Morocco,2
27,Croatia,4,Canada,1
28,Spain,1,Germany,1
29,Cameroon,3,Serbia,3
30,Korea Republic,2,Ghana,3
31,Brazil,1,Switzerland,0
32,Portugal,2,Uruguay,0
33,Ecuador,1,Senegal,2
34,Netherlands,2,Qatar,0
35,Wales,0,England,3
36,Iran,0,USA,1
37,Australia,1,Denmark,0
38,Tunisia,1,France,0
39,Poland,0,Argentina,2
40,Saudi Arabia,1,Mexico,2
41,Croatia,0,Belgium,0
42,Canada,1,Morocco,2
43,Japan,2,Spain,1
44,Costa Rica,2,Germany,4
45,Ghana,0,Uruguay,2
46,Korea Republic,2,Portugal,1
47,Serbia,2,Switzerland,3
48,Cameroon,1,Brazil,0
